Company Name,Headquarters,Website,Ratings,Average Salary,No. of Reviews,No. of Interviews
Merkle,"Columbia, MD, United States",www.merkleinc.com,3.8, 2.0k, 969, 424
Varian Medical Systems,"Palo Alto, CA, United States",www.varian.com,4.2, 1.4k, 740, 169
QBurst,Thiruvananthapuram,www.qburst.com,4.5, 362, 354, 85
Miracle Software Systems,"Novi, MI, United States",www.miraclesoft.com,3.5, 1.7k, 322, 60
Compass Group,"Chertsey, England, United Kingdom",www.compass-group.com,3.6, 3.4k, 2.7k, 320
British Council,"London, England, United Kingdom",www.britishcouncil.org,3.8, 831, 1.2k, 214
Visionary RCM Infotech,Chennai,www.visionaryrcm.com,3.3, 193, 385, 61
JLT Group,"London, England, United Kingdom",www.jlt.com,3.8, 607, 525, 107
LexisNexis Legal & Professional,"New York, NY, United States",www.lexisnexis.com,3.4, 2.3k, 2.2k, 289
Regus,"Luxembourg, Luxembourg",www.reguscareers.com,2.8, 2.0k, 2.0k, 377
Federal Bank,Aluva,www.federalbank.co.in,3.9, 303, 361, 110
Unacademy,Bengaluru,www.unacademy.com,3.9, 332, 444, 66
eTeam,"South Plainfield, NJ, United States",www.eteaminc.com,4.1, 728, 547, 84
Packt,"Birmingham, England, United Kingdom",www.packt.com,3.0, 240, 330, 114
NSEiT,Mumbai,www.nseit.com,3.7, 233, 397, 108
udaan.com,Bengaluru,www.udaan.com,3.7, 337, 357, 81
Fragomen,"New York, NY, United States",www.fragomen.com,3.3, 1.5k, 1.0k, 273
Other,"London, England, United Kingdom",www.other.co.uk,4.1, 981, 521, 23
Tetra Pak,"Pully, Switzerland",www.tetrapak.com,4.1, 1.2k, 1.0k, 164
Schindler,"Ebikon, Switzerland",www.schindler.com,3.6, 2.0k, 800, 92
Innominds Software,"San Jose, CA, United States",www.innominds.com,3.6, 588, 337, 67
Clover Infotech,Mumbai,www.cloverinfotech.com,3.5, 244, 424, 91
KBR,"Houston, TX, United States",www.kbr.com,3.7, 2.4k, 1.8k, 253
QA InfoTech,"Farmington Hills, MI, United States",www.qainfotech.com,3.6, 322, 339, 125
Capillary Technologies,"Singapore, Singapore",www.capillarytech.com,3.7, 296, 367, 71
SDL,"Maidenhead, England, United Kingdom",www.sdl.com,4.0, 844, 870, 128
Payoda,Coimbatore,www.payoda.com,4.4, 209, 282, 108
Cornerstone OnDemand,"Santa Monica, CA, United States",www.cornerstoneondemand.com,3.6, 1.2k, 1.1k, 285
MagicBricks,Noida,www.magicbricks.com,4.3, 233, 431, 61
LivSpace,Bengaluru,www.livspace.com,3.6, 287, 396, 84
Tommy Hilfiger,"Amsterdam, Netherlands",global.tommy.com,3.8, 1.8k, 1.5k, 305
"DHL Global Forwarding, Freight","Bonn, Germany",www.logistics.dhl,4.0, 1.2k, 1.2k, 147
Avery Dennison,"Glendale, CA, United States",www.averydennison.com,3.8, 1.6k, 1.1k, 250
Boehringer Ingelheim,"Ingelheim am Rhein, Germany",www.boehringer-ingelheim.com,4.1, 2.9k, 2.1k, 376
Stanley Black & Decker,"New Britain, CT, United States",www.stanleyblackanddecker.com,3.5, 2.5k, 1.7k, 303
Sokrati,Pune,www.sokrati.com,3.8, 237, 242, 177
"U.S. District Court, Southern District of Ohio","Columbus, OH, United States",www.ohsd.uscourts.gov,3.9, 1.7k, 342, 5
Raytheon Technologies,"Waltham, MA, United States",www.rtx.com,3.8, 12k, 5.0k, 1.4k
iQor,"Saint Petersburg, FL, United States",www.iqor.com,3.1, 1.6k, 1.5k, 255
Tata Power,Mumbai,www.tatapower.com,4.2, 311, 396, 74
State Farm,"Bloomington, IL, United States",www.statefarm.com,3.6, 14k, 11k, 2.4k
CMS IT services,Bengaluru,www.cmsitservices.com,2.8, 277, 388, 87
Go Speedy Go,Bhubaneswar,www.go-speedy-go.com,3.9, 133, 393, 102
Orion Innovation,"Edison, NJ, United States",www.orioninc.com,3.4, 1.7k, 291, 41
Integreon,"New York, NY, United States",www.integreon.com,3.3, 482, 480, 87
Arvato,"Gütersloh, Germany",www.arvato-supply-chain.com,3.1, 1.6k, 1.4k, 274
Petrofac,"London, England, United Kingdom",www.petrofac.com,3.7, 505, 784, 97
Encore Capital Group,"San Diego, CA, United States",www.encorecapital.com,3.5, 404, 468, 157
Qatar Airways,"Doha, Qatar",www.qatarairways.com,4.0, 761, 1.3k, 360
Icertis,"Bellevue, WA, United States",www.icertis.com,4.1, 228, 311, 159
Carrier,"Palm Beach Gardens, FL, United States",corporate.carrier.com,3.4, 1.6k, 1.0k, 170
CommScope,"Hickory, NC, United States",www.commscope.com,3.7, 1.3k, 672, 118
Intelliswift,"Newark, CA, United States",www.intelliswift.com,3.3, 1.3k, 270, 57
QualityKiosk,Mumbai,www.qualitykiosk.com,3.4, 240, 368, 121
Shriram Transport Finance,Mumbai,www.stfc.in,3.6, 316, 368, 75
HashedIn by Deloitte,Bengaluru,www.hashedin.com,4.1, 286, 237, 146
Tudip Technologies,Pune,www.tudip.com,3.3, 119, 214, 220
Amazon Flex,"Houston, TX, United States",flex.amazon.com,3.6, 1.6k, 1.9k, 94
CNH Industrial,"London, England, United Kingdom",www.cnhindustrial.com,3.7, 2.6k, 1.6k, 217
MediaTek,"Hsinchu, Taiwan",www.mediatek.com,4.0, 747, 746, 134
Red Bull,"Fuschl am See, Austria",www.redbull.com,4.3, 2.3k, 2.1k, 624
C-DAC,Pune,www.cdac.in,3.7, 276, 396, 78
